row_id,model_revision,phases,column,current_value,tier,action,proposed_value,preserve_to_notes,why
189,MR-HYQU-0065-V1,3,Model Description,(from Model Type 'POWER LTC'),DECIDE,add selection,POWER-S or POWER-W?,,POWER-? is ambiguous and Phases=3 does not distinguish them
332,MR-HITA-0001-V1,3,Model Description,(from Model Type 'POWER-LTC'),DECIDE,add selection,POWER-S or POWER-W?,,POWER-? is ambiguous and Phases=3 does not distinguish them
333,MR-HITA-0002-V1,3,Model Description,(from Model Type 'POWER-LTC'),DECIDE,add selection,POWER-S or POWER-W?,,POWER-? is ambiguous and Phases=3 does not distinguish them
334,MR-HITA-0003-V1,3,Model Description,(from Model Type 'POWER-LTC'),DECIDE,add selection,POWER-S or POWER-W?,,POWER-? is ambiguous and Phases=3 does not distinguish them
335,MR-HYQU-0084-V1,3,Model Description,(from Model Type 'POWER-LTC'),DECIDE,add selection,POWER-S or POWER-W?,,POWER-? is ambiguous and Phases=3 does not distinguish them
336,MR-HYQU-0085-V1,3,Model Description,(from Model Type 'POWER-LTC'),DECIDE,add selection,POWER-S or POWER-W?,,POWER-? is ambiguous and Phases=3 does not distinguish them
342,MR-HYQU-0090-V1,3,Model Description,(from Model Type 'POWER-LTC'),DECIDE,add selection,POWER-S or POWER-W?,,POWER-? is ambiguous and Phases=3 does not distinguish them
343,MR-HYQU-0091-V1,3,Model Description,(from Model Type 'POWER-LTC'),DECIDE,add selection,POWER-S or POWER-W?,,POWER-? is ambiguous and Phases=3 does not distinguish them
406,MRSA-HYQU-0071-V1,3,Model Description,(from Model Type 'POWER-LTC'),DECIDE,add selection,POWER-S or POWER-W?,,POWER-? is ambiguous and Phases=3 does not distinguish them
51,MR-HYQU-0023-V1,,Model Description,PADMOUNT,DECIDE,remove selection; set Model Type,?,Model Description was 'PADMOUNT',"a Model Type value sitting in Description. Phases is '(blank)', so the phase cannot be resolved from the data"
105,MR-HYQU-0029-V1,,Model Description,PADMOUNT,DECIDE,remove selection; set Model Type,?,Model Description was 'PADMOUNT',"a Model Type value sitting in Description. Phases is '(blank)', so the phase cannot be resolved from the data"
109,MR-HYQU-0031-V1,,Model Description,PADMOUNT,DECIDE,remove selection; set Model Type,?,Model Description was 'PADMOUNT',"a Model Type value sitting in Description. Phases is '(blank)', so the phase cannot be resolved from the data"
118,MR-HYQU-0035-V1,,Model Description,PADMOUNT,DECIDE,remove selection; set Model Type,?,Model Description was 'PADMOUNT',"a Model Type value sitting in Description. Phases is '(blank)', so the phase cannot be resolved from the data"
119,MR-HYQU-0036-V1,,Model Description,PADMOUNT,DECIDE,remove selection; set Model Type,?,Model Description was 'PADMOUNT',"a Model Type value sitting in Description. Phases is '(blank)', so the phase cannot be resolved from the data"
235,MR-OTHY-0008-V1,,Model Description,VAULT-1PH,DECIDE,set,,Model Description was 'VAULT-1PH',"Phases is '(blank)', so the phase cannot be resolved from the data"
236,MR-OTHY-0009-V1,,Model Description,VAULT-1PH,DECIDE,set,,Model Description was 'VAULT-1PH',"Phases is '(blank)', so the phase cannot be resolved from the data"
298,MR-PITR-0002-V1,3,Model Description,VAULT-1PH,DECIDE,set,,Model Description was 'VAULT-1PH',CONTRADICTION: the value says VAULT-1PH but Phases=3. Candidates: 1PH-VAULT
51,MR-HYQU-0023-V1,,Model Type,PADMOUNT,DECIDE,set,,Model Type was 'PADMOUNT',"Phases is '(blank)', so the phase cannot be resolved from the data"
105,MR-HYQU-0029-V1,,Model Type,PADMOUNT,DECIDE,set,,Model Type was 'PADMOUNT',"Phases is '(blank)', so the phase cannot be resolved from the data"
109,MR-HYQU-0031-V1,,Model Type,PADMOUNT,DECIDE,set,,Model Type was 'PADMOUNT',"Phases is '(blank)', so the phase cannot be resolved from the data"
118,MR-HYQU-0035-V1,,Model Type,PADMOUNT,DECIDE,set,,Model Type was 'PADMOUNT',"Phases is '(blank)', so the phase cannot be resolved from the data"
119,MR-HYQU-0036-V1,,Model Type,PADMOUNT,DECIDE,set,,Model Type was 'PADMOUNT',"Phases is '(blank)', so the phase cannot be resolved from the data"
121,MR-HYQU-0078-V1,3,Model Description,(from Model Type 'LTC'),MECHANICAL,add selection,LTC,,the multiselect exists for exactly this -- LTC alongside other descriptions
