unit,raw,step_status,status_date,note
21814-1/11,TE-Se-4,Terminé,2026-09-04,
21793-1/5,TE-Se-3,Terminé,2026-09-03,
21965-4/4,TE-Se-3,Terminé,2026-09-03,
21794-5/5,TE-Se-4,Terminé,2026-09-04,
21969-2/2,TE-Se-4,Terminé,2026-09-04,
21971-5/8,TE-Se-3,Terminé,2026-09-03,
21967-1/5,TE-Se-3,Terminé,2026-09-03,
21971-6/8,TE-Se-3,Terminé,2026-09-03,
21794-1/5,TE-Se-2,Terminé,2026-09-02,
21792-5/5,TE-Se-2,Terminé,2026-09-02,
21794-4/5,TE-Se-2,Terminé,2026-09-02,
21971-4/8,TE-Se-2,Terminé,2026-09-02,
21050W1-1/1,TE-Se-2,Terminé,2026-09-02,
21794-2/5,TE-Se-2,Terminé,2026-09-02,
21969-1/2,TE-Se-1,Terminé,2026-09-01,
21794-3/5,TE-Se-1,Terminé,2026-09-01,
21971-1/8,EC-Se-1,En cours,2026-09-01,
21971-2/8,TE-Se-1,Terminé,2026-09-01,
21971-3/8,EC-Se-1,En cours,2026-09-01,
21839-7/10,TE-Ao-27,Terminé,2026-08-27,
21839-9/10,TE-Ao-26,Terminé,2026-08-26,
21838-3/5,TE-Ao-26,Terminé,2026-08-26,
21840-3/10,TE-Ao-27,Terminé,2026-08-27,
21813-1/1,TE-Ao-26,Terminé,2026-08-26,
22032-14/20,TE-Ao-26,Terminé,2026-08-26,
22032-16/20,TE-Ao-26,Terminé,2026-08-26,
22032-17/20,TE-Ao-26,Terminé,2026-08-26,
21803-1/8,TE-Ao-26,Terminé,2026-08-26,
20164W2-1/1,TE-Ao-25,Terminé,2026-08-25,
22032-7/20,TE-Ao-24,Terminé,2026-08-24,
22032-12/20,TE-Ao-24,Terminé,2026-08-24,
22032-13/20,TE-Ao-24,Terminé,2026-08-24,
22032-15/20,TE-Ao-24,Terminé,2026-08-24,
22032-18/20,TE-Ao-24,Terminé,2026-08-24,
22032-19/20,TE-Ao-25,Terminé,2026-08-25,
22032-8/20,TE-Ao-24,Terminé,2026-08-24,
21966-2/3,TE-Ao-26,Terminé,2026-08-26,
22032-10/20,TE-Ao-20,Terminé,2026-08-20,
21966-3/3,TE-Ao-26,Terminé,2026-08-26,
21968-3/4,TE-Ao-26,Terminé,2026-08-26,
22032-4/20,TE-Ao-20,Terminé,2026-08-20,
21941-3/3,TE-Ao-20,Terminé,2026-08-20,
22032-9/20,TE-Ao-20,Terminé,2026-08-20,
22032-11/20,TE-Ao-20,Terminé,2026-08-20,
21944-2/4,TE-Ao-19,Terminé,2026-08-19,
21944-3/4,TE-Ao-19,Terminé,2026-08-19,
21944-4/4,TE-Ao-19,Terminé,2026-08-19,
21923-4/6,TE-Ao-17,Terminé,2026-08-17,
21968-1/4,TE-Ao-17,Terminé,2026-08-17,
21789-5/5,TE-Ao-17,Terminé,2026-08-17,
21944-1/4,TE-Ao-17,Terminé,2026-08-17,
22032-5/20,TE-Ao-17,Terminé,2026-08-17,
22032-6/20,TE-Ao-17,Terminé,2026-08-17,
21787-5/5,TE-Ao-14,Terminé,2026-08-14,
21966-1/3,TE-Ao-14,Terminé,2026-08-14,
21968-2/4,TE-Ao-14,Terminé,2026-08-14,
21952-1/1,TE-Ao-12,Terminé,2026-08-12,
21941-1/3,TE-Ao-12,Terminé,2026-08-12,
21787-3/5,TE-Ao-14,Terminé,2026-08-14,
21787-4/5,TE-Ao-12,Terminé,2026-08-12,
21941-2/3,TE-Ao-13,Terminé,2026-08-13,
21786-11/14,TE-Ao-12,Terminé,2026-08-12,
21787-2/5,TE-Ao-12,Terminé,2026-08-12,
22021-14/20,TE-Ao-11,Terminé,2026-08-11,
21786-10/14,TE-Ao-11,Terminé,2026-08-11,
21786-12/14,TE-Ao-11,Terminé,2026-08-11,
21786-13/14,TE-Ao-11,Terminé,2026-08-11,
21786-14/14,TE-Ao-11,Terminé,2026-08-11,
21787-1/5,TE-Ao-11,Terminé,2026-08-11,
21786-9/14,TE-Jui-24,Terminé,2026-07-24,JUI_resolved_from_stage_dates(ref=2026-08-17)
21945-1/2,TE-Jui-22,Terminé,2026-07-22,JUI_resolved_from_stage_dates(ref=2026-08-31)
22032-3/20,TE-Jui-22,Terminé,2026-07-22,JUI_resolved_from_stage_dates(ref=2026-08-18)
21945-2/2,TE-Ao-14,Terminé,2026-08-14,
22032-2/20,TE-Jui-21,Terminé,2026-07-21,JUI_resolved_from_stage_dates(ref=2026-08-18)
21881-2/2,TE-Jui-17,Terminé,2026-07-17,JUI_resolved_from_stage_dates(ref=2026-08-13)
22032-1/20,TE-Jui-17,Terminé,2026-07-17,JUI_resolved_from_stage_dates(ref=2026-08-18)
21408-1/1 SA,TE-Jui-16,Terminé,2026-07-16,JUI_resolved_from_stage_dates(ref=2026-08-31)
21408-1/1,TE-Jui-16,Terminé,2026-07-16,JUI_resolved_from_stage_dates(ref=2026-08-31)
21881-1/2,TE-Jui-15,Terminé,2026-07-15,JUI_resolved_from_stage_dates(ref=2026-08-13)
