unit,verdict,list_item_status,list_delivery_end,archive_delivery_date,archive_location,archive_status,archive_archived_flag
21786-10/14,ALREADY_CORRECT,Delivered,2026-08-17,2026-08-17,LI,TE-Ao-11,Exists
21786-11/14,ALREADY_CORRECT,Delivered,2026-08-17,2026-08-17,LI,TE-Ao-12,Exists
21786-12/14,ALREADY_CORRECT,Delivered,2026-08-17,2026-08-17,LI,TE-Ao-11,
21786-14/14,ALREADY_CORRECT,Delivered,2026-08-17,2026-08-17,LI,TE-Ao-11,
21786-9/14,ALREADY_CORRECT,Delivered,2026-08-17,2026-08-17,LI,TE-Jui-24,Exists
21787-1/5,ALREADY_CORRECT,Delivered,2026-08-26,2026-08-26,LI,TE-Ao-11,
21787-2/5,ALREADY_CORRECT,Delivered,2026-08-17,2026-08-17,LI,TE-Ao-12,
21787-3/5,ALREADY_CORRECT,Delivered,2026-08-17,2026-08-17,LI,TE-Ao-14,Exists
21787-4/5,ALREADY_CORRECT,Delivered,2026-08-17,2026-08-17,LI,TE-Ao-12,Exists
21789-5/5,ALREADY_CORRECT,Delivered,2026-08-20,2026-08-20,LI,TE-Ao-17,Exists
21803-1/8,ALREADY_CORRECT,Delivered,2026-08-26,2026-08-26,LI,TE-Ao-26,Exists
21881-1/2,ALREADY_CORRECT,Delivered,2026-08-13,2026-08-13,LI,TE-Jui-15,Exists
21881-2/2,ALREADY_CORRECT,Delivered,2026-08-13,2026-08-13,LI,TE-Jui-17,Exists
21923-4/6,ALREADY_CORRECT,Delivered,2026-08-20,2026-08-20,LI,TE-Ao-17,
21941-3/3,ALREADY_CORRECT,Delivered,2026-08-26,2026-08-26,LI,TE-Ao-20,
21944-1/4,ALREADY_CORRECT,Delivered,2026-08-20,2026-08-20,LI,TE-Ao-17,Exists
21944-2/4,ALREADY_CORRECT,Delivered,2026-08-20,2026-08-20,LI,TE-Ao-19,
21944-3/4,ALREADY_CORRECT,Delivered,2026-08-20,2026-08-20,LI,TE-Ao-19,
21944-4/4,ALREADY_CORRECT,Delivered,2026-08-20,2026-08-20,LI,TE-Ao-19,Exists
21966-2/3,ALREADY_CORRECT,Delivered,2026-08-26,2026-08-26,LI,TE-Ao-26,Exists
21966-3/3,ALREADY_CORRECT,Delivered,2026-08-26,2026-08-26,LI,TE-Ao-26,Exists
21968-3/4,ALREADY_CORRECT,Delivered,2026-08-26,2026-08-26,LI,TE-Ao-26,
22032-10/20,ALREADY_CORRECT,Delivered,2026-08-25,2026-08-25,LI,TE-Ao-20,Exists
22032-11/20,ALREADY_CORRECT,Delivered,2026-08-25,2026-08-25,LI,TE-Ao-20,
22032-12/20,ALREADY_CORRECT,Delivered,2026-08-26,2026-08-26,LI,TE-Ao-24,
