DocTypeKey,Title,DrawingNumbersRaw,Recipient,RecipientKind,FolderColour,Copies,Note
autres-pieces,Autres pièces,"G1168-, G1371, G1368",Qualité,office,Rose,1,
autres-pieces,Autres pièces,"G1168-, G1371, G1368",Cuve,external,Beige,1,
base,Base,G1354,Qualité,office,Rose,1,
base,Base,G1354,Cuve,external,Beige,1,
base-mod-tank-mod,Base Mod./ Tank Mod.,G1168A,Qualité,office,Rose,1,
base-mod-tank-mod,Base Mod./ Tank Mod.,G1168A,Tanking,station,Bleu,1,
base-mod-tank-mod,Base Mod./ Tank Mod.,G1168A,Cuve,external,Beige,1,
base-for-c-c,Base for C/C,G1154A0240 et autres,Cuve,external,Beige,1,
boite-de-controle-cb,Boite de contrôle (CB),# du transfo suivit de CB,Qualité,office,Rose,1,
bottom-cross-ch,Bottom cross ch.,G1318A----,Ass + Stacking,station,Gris,1,
bottom-cross-ch,Bottom cross ch.,G1318A----,Cuve,external,Beige,1,
bottom-lock-arr,Bottom lock. Arr.,G1331A0180 et autres,Ass + Stacking,station,Gris,1,
busbar,Busbar,"Si inscrit ""Metelec"" dans M.P.L.",Ass + Stacking,station,Gris,1,
busbar,Busbar,"Si inscrit ""Metelec"" dans M.P.L.",Tanking,station,Bleu,1,
busbar,Busbar,"Si inscrit ""Metelec"" dans M.P.L.",Achats,office,Beige,1,
bushings,Bushings,G1175,Tanking,station,Bleu,1,
c-l-fuse-studs,C.L. Fuse Studs,G1168A,Tanking,station,Bleu,1,
c-l-fuse-studs,C.L. Fuse Studs,G1168A,Cuve,external,Beige,1,
clamps,Clamps,G1175,Tanking,station,Bleu,1,
com-atelier,Com. atelier,,Essai,station,Rouge,1,
com-atelier,Com. atelier,,Test,station,Vert,1,
connection-diagram__g1130,Connection Diagram,"G1130, G1339",Essai,station,Rouge,1,
connection-diagram__g1130,Connection Diagram,"G1130, G1339",Qualité,office,Rose,1,
connection-diagram__g1130,Connection Diagram,"G1130, G1339",Ass + Stacking,station,Gris,1,
connection-diagram__g1130,Connection Diagram,"G1130, G1339",Tanking,station,Bleu,1,
connection-diagram__g1130,Connection Diagram,"G1130, G1339",Test,station,Vert,1,
connection-diagram__g1130,Connection Diagram,"G1130, G1339",Filerie,station,Violet,1,
connection-diagram__g1309c,Connection Diagram,G1309C,Essai,station,Rouge,1,
connection-diagram__g1309c,Connection Diagram,G1309C,Qualité,office,Rose,1,
connection-diagram__g1309c,Connection Diagram,G1309C,Ass + Stacking,station,Gris,1,
connection-diagram__g1309c,Connection Diagram,G1309C,Test,station,Vert,1,
connection-diagram__g1309c,Connection Diagram,G1309C,Filerie,station,Violet,1,
control-box-mod,Control Box Mod,G1368A1571,Qualité,office,Rose,1,
control-box-mod,Control Box Mod,G1368A1571,Filerie,station,Violet,1,
core-blocking,Core Blocking,CB Master,Ass + Stacking,station,Gris,1,
cover-couvercle,Cover - Couvercle,"G1161, G1361",Qualité,office,Rose,1,
cover-couvercle,Cover - Couvercle,"G1161, G1361",Finition,station,Orange,1,
cover-couvercle,Cover - Couvercle,"G1161, G1361",Cuve,external,Beige,2,
estampes,Estampes,,Qualité,office,Rose,1,
bars-extension-spacers,Bars (Extension )/Spacers,G1368A / G13,Isolation,station,Jaune,1,
bars-extension-spacers,Bars (Extension )/Spacers,G1368A / G13,Ass + Stacking,station,Gris,1,
bars-extension-spacers,Bars (Extension )/Spacers,G1368A / G13,Finition,station,Orange,1,
bars-extension-spacers,Bars (Extension )/Spacers,G1368A / G13,Achats,office,Beige,1,
extention-hardware,Extention hardware,G1368A,Isolation,station,Jaune,1,
extention-hardware,Extention hardware,G1368A,Ass + Stacking,station,Gris,1,
extention-hardware,Extention hardware,G1368A,Achats,office,Beige,1,
flange-network,Flange Network,,Qualité,office,Rose,1,
flange-network,Flange Network,,Cuve,external,Beige,1,
formulaire-points-a-surveiller,Formulaire: Points a surveiller,Copie sur des feuilles oranges *,Qualité,office,Rose,1,
formulaire-points-a-surveiller,Formulaire: Points a surveiller,Copie sur des feuilles oranges *,Isolation,station,Jaune,1,
formulaire-points-a-surveiller,Formulaire: Points a surveiller,Copie sur des feuilles oranges *,Ass + Stacking,station,Gris,1,
formulaire-points-a-surveiller,Formulaire: Points a surveiller,Copie sur des feuilles oranges *,Tanking,station,Bleu,1,
formulaire-points-a-surveiller,Formulaire: Points a surveiller,Copie sur des feuilles oranges *,Finition,station,Orange,1,
formulaire-points-a-surveiller,Formulaire: Points a surveiller,Copie sur des feuilles oranges *,Filerie,station,Violet,1,
formulaire-points-a-surveiller,Formulaire: Points a surveiller,Copie sur des feuilles oranges *,Vente,office,Beige,1,
frame,Frame,"G1117, *G1117B, G1317, G1318B, G1318C",Qualité,office,Rose,1,
frame,Frame,"G1117, *G1117B, G1317, G1318B, G1318C",Ass + Stacking,station,Gris,1,
frame,Frame,"G1117, *G1117B, G1317, G1318B, G1318C",Cuve,external,Beige,1,
gaskets,Gaskets,G1175,Tanking,station,Bleu,1,
gaskets,Gaskets,G1175,Finition,station,Orange,1,
glastic,Glastic,G1185 / G1368,Qualité,office,Rose,1,
glastic,Glastic,G1185 / G1368,Isolation,station,Jaune,1,
glastic,Glastic,G1185 / G1368,Ass + Stacking,station,Gris,1,
glastic,Glastic,G1185 / G1368,Finition,station,Orange,1,
glastic,Glastic,G1185 / G1368,Achats,office,Beige,1,
ground-bar,Ground bar,"G1335, G1135",Qualité,office,Rose,1,
ground-bar,Ground bar,"G1335, G1135",Isolation,station,Jaune,1,
ground-bar,Ground bar,"G1335, G1135",Ass + Stacking,station,Gris,1,
ground-bar-bus,Ground bar / bus,G1335A--,Ass + Stacking,station,Gris,1,
ground-bar-bus,Ground bar / bus,G1335A--,Achats,office,Beige,1,
ground-spade-pad,Ground spade/pad,G1135A,Isolation,station,Jaune,1,
ground-spade-pad,Ground spade/pad,G1135A,Ass + Stacking,station,Gris,1,
ground-spade-pad,Ground spade/pad,G1135A,Cuve,external,Beige,1,
ground-strap-network,Ground Strap Network,G1135A,Qualité,office,Rose,1,
ground-strap-network,Ground Strap Network,G1135A,Isolation,station,Jaune,1,
ground-strap-network,Ground Strap Network,G1135A,Ass + Stacking,station,Gris,1,
hv-lv-cutout-detail,HV & LV Cutout detail,G1168B,Qualité,office,Rose,1,
hv-lv-cutout-detail,HV & LV Cutout detail,G1168B,Cuve,external,Beige,1,
hv-busbar,HV busbar,,Achats,office,Beige,1,
insulation-list-of,Insulation (List of),"G1131, FLE en titre",Isolation,station,Jaune,1,
insulation-list-of,Insulation (List of),"G1131, FLE en titre",Ass + Stacking,station,Gris,1,
l-v-bushing-spacer,L.V. Bushing Spacer,G1368A21522,Finition,station,Orange,1,
l-v-bushing-spacer,L.V. Bushing Spacer,G1368A21522,Achats,office,Beige,1,
l-v-extention-bar-support,L.V. Extention bar support,G1168,Ass + Stacking,station,Gris,1,
l-v-extention-bar-support,L.V. Extention bar support,G1168,Tanking,station,Bleu,1,
l-v-extention-bar-support,L.V. Extention bar support,G1168,Finition,station,Orange,1,
l-v-supports,L.V. supports,G1133A0390 et autres,Isolation,station,Jaune,1,
l-v-supports,L.V. supports,G1133A0390 et autres,Ass + Stacking,station,Gris,1,
l-v-supports,L.V. supports,G1133A0390 et autres,Finition,station,Orange,1,
l-v-supports,L.V. supports,G1133A0390 et autres,Achats,office,Beige,1,
m-p-l,M.P.L,"G1190, G1390, G1391",Essai,station,Rouge,1,
m-p-l,M.P.L,"G1190, G1390, G1391",Qualité,office,Rose,1,
m-p-l,M.P.L,"G1190, G1390, G1391",Ass + Stacking,station,Gris,1,
m-p-l,M.P.L,"G1190, G1390, G1391",Tanking,station,Bleu,1,
m-p-l,M.P.L,"G1190, G1390, G1391",Test,station,Vert,1,
m-p-l,M.P.L,"G1190, G1390, G1391",Finition,station,Orange,1,
m-p-l,M.P.L,"G1190, G1390, G1391",Filerie,station,Violet,1,
m-p-l,M.P.L,"G1190, G1390, G1391",Cuve,external,Beige,2,
m-p-l,M.P.L,"G1190, G1390, G1391",Achats,office,Beige,1,
n-p-ext-nameplate-etiquette,N/P-Ext. Nameplate(Étiquette),G2104,Qualité,office,Rose,1,
n-p-ext-nameplate-etiquette,N/P-Ext. Nameplate(Étiquette),G2104,Tanking,station,Bleu,1,
n-p-ext-nameplate-etiquette,N/P-Ext. Nameplate(Étiquette),G2104,Finition,station,Orange,1,
n-p-ext-nameplate-etiquette,N/P-Ext. Nameplate(Étiquette),G2104,Achats,office,Beige,1,
nameplate-plaque-signalet__sans,Nameplate - Plaque signalet.,"G2102, G2112 (sans +)",Essai,station,Rouge,1,
nameplate-plaque-signalet__sans,Nameplate - Plaque signalet.,"G2102, G2112 (sans +)",Ass + Stacking,station,Gris,1,
nameplate-plaque-signalet__sans,Nameplate - Plaque signalet.,"G2102, G2112 (sans +)",Tanking,station,Bleu,1,
nameplate-plaque-signalet__sans,Nameplate - Plaque signalet.,"G2102, G2112 (sans +)",Test,station,Vert,1,
nameplate-plaque-signalet__sans,Nameplate - Plaque signalet.,"G2102, G2112 (sans +)",Finition,station,Orange,1,
nameplate-plaque-signalet__avec,Nameplate - Plaque signalet.,"G2102, G2112 (avec +)",Essai,station,Rouge,0,placer dans chemise sur la table à dessins
nameplate-plaque-signalet__avec,Nameplate - Plaque signalet.,"G2102, G2112 (avec +)",Finition,station,Orange,1,
network-piping,Network Piping,G1368 B,Filerie,station,Violet,1,
network-support,Network Support,G1183,Qualité,office,Rose,1,
network-support,Network Support,G1183,Cuve,external,Beige,1,
order-check-list,Order Check List,"C1120, C1122, C1115, C1116",Essai,station,Rouge,1,
order-check-list,Order Check List,"C1120, C1122, C1115, C1116",Isolation,station,Jaune,1,
order-check-list,Order Check List,"C1120, C1122, C1115, C1116",Ass + Stacking,station,Gris,1,
order-check-list,Order Check List,"C1120, C1122, C1115, C1116",Test,station,Vert,1,
order-check-list,Order Check List,"C1120, C1122, C1115, C1116",Vente,office,Beige,1,
outline-encombrement,Outline - Encombrement,"G1103, G1303",Essai,station,Rouge,1,
outline-encombrement,Outline - Encombrement,"G1103, G1303",Qualité,office,Rose,1,
outline-encombrement,Outline - Encombrement,"G1103, G1303",Ass + Stacking,station,Gris,1,
outline-encombrement,Outline - Encombrement,"G1103, G1303",Tanking,station,Bleu,1,
outline-encombrement,Outline - Encombrement,"G1103, G1303",Test,station,Vert,1,
outline-encombrement,Outline - Encombrement,"G1103, G1303",Finition,station,Orange,1,
outline-encombrement,Outline - Encombrement,"G1103, G1303",Filerie,station,Violet,1,
outline-encombrement,Outline - Encombrement,"G1103, G1303",Cuve,external,Beige,2,
outline-encombrement,Outline - Encombrement,"G1103, G1303",Vente,office,Beige,1,
palette,Palette,PL-Master,Finition,station,Orange,1,
palette,Palette,PL-Master,Cuve,external,Beige,1,
palette,Palette,PL-Master,Vente,office,Beige,1,
switch-chamber,Switch chamber,G1368B,Qualité,office,Rose,1,
switch-chamber,Switch chamber,G1368B,Cuve,external,Beige,1,
tank-cuve__g1158d,Tank - Cuve,G1158D,Qualité,office,Rose,1,
tank-cuve__g1158d,Tank - Cuve,G1158D,Tanking,station,Bleu,1,
tank-cuve__g1158d,Tank - Cuve,G1158D,Finition,station,Orange,1,
tank-cuve__g1158d,Tank - Cuve,G1158D,Cuve,external,Beige,3,
tank-cuve__g1150,Tank - Cuve,"G1150, G1350, G1158C",Qualité,office,Rose,1,
tank-cuve__g1150,Tank - Cuve,"G1150, G1350, G1158C",Tanking,station,Bleu,1,
tank-cuve__g1150,Tank - Cuve,"G1150, G1350, G1158C",Finition,station,Orange,1,
tank-cuve__g1150,Tank - Cuve,"G1150, G1350, G1158C",Filerie,station,Violet,1,
tank-cuve__g1150,Tank - Cuve,"G1150, G1350, G1158C",Cuve,external,Beige,1,
top-locating-bolt,Top locating bolt,G1318A----,Ass + Stacking,station,Gris,1,
top-locating-bolt,Top locating bolt,G1318A----,Cuve,external,Beige,1,
top-location-angle,Top location angle,G1318A----,Ass + Stacking,station,Gris,1,
top-location-angle,Top location angle,G1318A----,Cuve,external,Beige,1,
window-blocking,Window Blocking,WB Master,Ass + Stacking,station,Gris,1,
wiring-shema-electrique,Wiring - Shéma éléctrique,G1339,Essai,station,Rouge,1,
wiring-shema-electrique,Wiring - Shéma éléctrique,G1339,Qualité,office,Rose,1,
wiring-shema-electrique,Wiring - Shéma éléctrique,G1339,Tanking,station,Bleu,1,
wiring-shema-electrique,Wiring - Shéma éléctrique,G1339,Test,station,Vert,1,
wiring-shema-electrique,Wiring - Shéma éléctrique,G1339,Finition,station,Orange,1,
wiring-shema-electrique,Wiring - Shéma éléctrique,G1339,Filerie,station,Violet,1,
x0-connection,X0 Connection,,Tanking,station,Bleu,1,
x0-connection,X0 Connection,,Finition,station,Orange,1,
x0-neutral-sp,X0 Neutral sp.,G1135A0149 et autres,Cuve,external,Beige,1,
ly-layout,LY Layout,,Test,station,Vert,1,
ly-layout,LY Layout,,Finition,station,Orange,1,
ext-bar,Ext.Bar,G21152-MOD,Isolation,station,Jaune,1,
ext-bar,Ext.Bar,G21152-MOD,Ass + Stacking,station,Gris,1,
