Order,Engineering Required,LDs,Engineering Required state,LDs state
21840-10/10,Y,Y,Y,Y
21386-2/2,Y,N,Y,N
21842-2/5,Y,Y,Y,Y
21611-1/1,Y,Y,Y,Y
21842-3/5,Y,Y,Y,Y
21611-1/1 SA,Y,,Y,blank
21842-4/5,Y,Y,Y,Y
21912-1/10,Y,,Y,blank
21842-5/5,Y,Y,Y,Y
21912-2/10,Y,,Y,blank
21842-1/5,Y,Y,Y,Y
21912-3/10,Y,,Y,blank
21911-1/7,Y,,Y,blank
21912-4/10,Y,,Y,blank
21911-6/7,Y,,Y,blank
21714-1/4,N,Y,N,Y
21969-1/2,N,,N,blank
21912-5/10,Y,,Y,blank
21794-3/5,N,Y,N,Y
21912-6/10,Y,,Y,blank
21971-1/8,N,,N,blank
21714-2/4,N,Y,N,Y
21971-2/8,N,,N,blank
21910-3/3,Y,,Y,blank
21971-3/8,N,,N,blank
21912-7/10,Y,,Y,blank
21794-2/5,N,Y,N,Y
21912-8/10,Y,,Y,blank
21793-1/5,N,Y,N,Y
21912-10/10,Y,,Y,blank
21792-5/5,N,Y,N,Y
21912-9/10,Y,,Y,blank
21794-4/5,N,Y,N,Y
21814-1/11,Y,Y,Y,Y
21965-4/4,N,,N,blank
21910-1/3,Y,,Y,blank
21971-4/8,N,,N,blank
21943-8/8,N,,N,blank
21971-5/8,N,,N,blank
21910-2/3,Y,,Y,blank
21967-1/5,N,,N,blank
P20001-1/1,Y,,Y,blank
21847-1/1,N,,N,blank
20164W2-1/1,,,blank,blank
21848-1/3,N,,N,blank
21657-1/1,Y,Y,Y,Y
21848-2/3,N,,N,blank
21040W2-1/1,Y,,Y,blank
21848-3/3,N,,N,blank
21968-4/4,N,,N,blank
21851-1/2,Y,,Y,blank
21050W1-1/1,Y,,Y,blank
21851-2/2,Y,,Y,blank
21499-1/3,Y,N,Y,N
21879-1/1,Y,,Y,blank
21499-1/3 SA,Y,,Y,blank
21854-1/2,Y,,Y,blank
21794-1/5,N,Y,N,Y
21854-2/2,Y,,Y,blank
22045-2/2,Y,,Y,blank
21954-1/1,Y,,Y,blank
21803-5/8,N,Y,N,Y
21821-1/1,N,Y,N,Y
22063-1/1,,,blank,blank
22045-1/2,Y,,Y,blank
22064-1/2,,,blank,blank
22078-1/1,,,blank,blank
21849-1/2,Y,,Y,blank
22064-2/2,,,blank,blank
21849-2/2,Y,,Y,blank
22083-1/2,,,blank,blank
21906-1/2,N,,N,blank
21906-2/2,N,,N,blank
22083-2/2,,,blank,blank
P1_001-1/1,,,blank,blank
21907-1/8,N,,N,blank
21794-5/5,N,Y,N,Y
22084-1/2,,,blank,blank
21969-2/2,N,,N,blank
21853-1/2,N,,N,blank
21970-1/2,N,,N,blank
21853-2/2,N,,N,blank
21907-2/8,N,,N,blank
22084-2/2,,,blank,blank
21991-1/3,N,,N,blank
21907-3/8,N,,N,blank
