ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field DisplayName=\"Client_ID\" EnforceUniqueValues=\"TRUE\" Format=\"Dropdown\" Indexed=\"TRUE\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"Client_ID\" Required=\"TRUE\" Title=\"Client_ID\" Type=\"Text\" ID=\"{f9d5c518-be03-4c66-be88-2fcf5f7424ce}\" StaticName=\"Client_ID\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Client\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Client_ID","Client"
"3L2R","3L2R"
"ALPO","ALABAMA POWER"
"ALST","ALGOMA STEEL"
"AMER","AMERESCO"
"AUEN","AUSTIN ENERGY"
"BEEL","BEAVER ELECTRICAL "
"BLMC","BLACK § McDONALD"
"BRAD","BRADKEN "
"BUHY","BURLINGTON HYDRO"
"CANU","CANADIAN NUCLEAR LAB"
"CAPL","CAPLINK "
"CATR","CARROLL TRANSFORMERS"
"COEN","CONSUMERS ENERGY"
"CYMO","CYPRESS MOUNTAIN "
"DAEL","DALTCO ELECTRIC"
"ELPO","ELECTEK POWER "
"ENBR","ENBRIDGE"
"ENMA","ENMAX"
"EPCO","EPCOR"
"EVER","EVERSOURCE"
"FORT","FORTIS"
"GTWO","G.T. WOOD"
"GEPO","GEORGIA POWER"
"GUIL","GUILLEVIN"
"HIVO","HIGH VOLTAGE POWER"
"HITA","HITACHI"
"OTHY","OTTAWA HYDRO"
"IDSU","IDEAL SUPPLY"
"IMOI","IMPERIAL OIL"
"INPI","INTER PIPELINE"
"KICI","KINGWORTH CIVIL"
"KORT","KORTICK"
"LANG","LANGTREE"
"LGEN","LG§E"
"LISA","LIZCO SALES"
"MAGA","MADISON GAS § ELECTRIC"
"MAEL","MAGNA ELECTRIC"
"MELG","MEMPHIS LG§WATER "
"MILL","MILLTRON"
"MULT","MULTITECH"
"NAEL","NASHVILLE ELECTRIC"
"NAGR","NATIONAL GRID"
"NEDC","NEDCO"
"NORI","NORTH RIVER MIDSTREAM "
"NOIN","NORTHERN INDIANA"
"NUVI","NUVISTA "
"OAHY","OAKVILLE HYDRO"
"PBW","PBW"
"PEMB","PEMBINA "
"PEEN","PENN ENERGY RENEWABLES"
"PIRE","PINNACLE RENEWABLE ENERGY"
"PLGR","PLAN GROUP "
"POMT","PORT DE MTL"
"POPL","POWER PLUS CONTROL "
"POSY","POWER SYSTEM SOLUTIONS"
"POWE","POWERTECK"
"POEL","PROVINCE ELECTRIC"
"PSEG","PSE§G "
"ROBE","ROBERTSON"
"REDE","RED DEER"
"SIEN","SIEMENS ENERGY"
"STEL","STELCO"
"SMLO","SMITH § LONG"
"TEPO","TEAM POWER SOLUTIONS "
"TECH","TECHLINE"
"TECO","TECHNO CONTACT"
"TOHY","TORONTO HYDRO"
"WESC","WESCO"
"WECA","WESTBURN CAMBRIDGE"
"WIHI","WILSON HIGH VOLTAGE"
