ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field DisplayName=\"Client_ID\" EnforceUniqueValues=\"TRUE\" Format=\"Dropdown\" Indexed=\"TRUE\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"Client_ID\" Required=\"TRUE\" Title=\"Client_ID\" Type=\"Text\" ID=\"{f9d5c518-be03-4c66-be88-2fcf5f7424ce}\" StaticName=\"Client_ID\" />","<Field Type=\"Number\" Name=\"CliLeadTimeWeeks\" StaticName=\"CliLeadTimeWeeks\" DisplayName=\"Lead Time (weeks)\" Group=\"Client Sync\" Required=\"FALSE\" Decimals=\"0\" ID=\"{08ebaf5c-e7c5-44d7-be76-02356b0692b4}\" />","<Field Type=\"Text\" Name=\"CliDelai\" StaticName=\"CliDelai\" DisplayName=\"Delai\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{0b630252-a598-446e-bb43-5984d573614e}\" />","<Field Type=\"Text\" Name=\"CliCriticalPart1\" StaticName=\"CliCriticalPart1\" DisplayName=\"Critical Part 1\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{fa6d0de7-b3db-42d0-bf17-5d74b149e846}\" />","<Field Type=\"Text\" Name=\"CliSupplier1\" StaticName=\"CliSupplier1\" DisplayName=\"Supplier 1\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{e29512db-fb82-47ae-b7a2-bdbf6a2fe294}\" />","<Field Type=\"Text\" Name=\"CliCriticalPart2\" StaticName=\"CliCriticalPart2\" DisplayName=\"Critical Part 2\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{59202709-d41e-4d9a-9c86-17599a3e9f3c}\" />","<Field Type=\"Text\" Name=\"CliSupplier2\" StaticName=\"CliSupplier2\" DisplayName=\"Supplier 2\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{1c03348b-96f6-4d77-938d-3494c5dec591}\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Client\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Client_ID","Client","Lead Time (weeks)","Delai","Supplier 1","Critical Part 1","Supplier 2","Critical Part 2","Modified","Created","Created By","Modified By"
"3L2R","3L2R",,,,,,,"2025-09-08T21:13:58Z","2025-09-03T16:48:58Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"ALPO","ALABAMA POWER","20","20 SEM","Richards Manuf.","Gauges",,,"2026-09-10T21:30:31Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"ALST","ALGOMA STEEL",,,,,,,"2025-09-08T21:14:38Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"AMER","AMERESCO",,,,,,,"2025-09-08T21:15:24Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"AUEN","AUSTIN ENERGY","16","16 SEM","Groupe Exel Inter.","Flexible Connector","Quality Switch","Network Switch","2026-09-10T21:30:32Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"BEEL","BEAVER ELECTRICAL ",,,,,,,"2025-09-08T21:15:45Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"BLMC","BLACK § McDONALD",,,,,,,"2025-09-08T21:15:58Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"BRAD","BRADKEN ",,,,,,,"2025-09-08T21:16:18Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"BUHY","BURLINGTON HYDRO",,,,,,,"2025-09-08T21:16:27Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"CANU","CANADIAN NUCLEAR LAB",,,,,,,"2025-09-08T21:16:36Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"CAPL","CAPLINK ",,,,,,,"2025-09-08T21:16:44Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"CATR","CARROLL TRANSFORMERS",,,,,,,"2025-09-08T21:16:54Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"COEN","CONSUMERS ENERGY",,,,,,,"2025-09-08T21:17:06Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"CYMO","CYPRESS MOUNTAIN ",,,,,,,"2025-09-08T21:17:14Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"DAEL","DALTCO ELECTRIC",,,,,,,"2025-09-08T21:17:22Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"ELPO","ELECTEK POWER ",,,,,,,"2025-09-08T21:17:29Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"ENBR","ENBRIDGE",,,,,,,"2025-09-08T21:17:39Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"ENMA","ENMAX","20","20 SEM","Richards Manuf.","Network Protector","Trantech","Radiateurs en SS","2026-09-10T21:30:34Z","2025-09-03T16:48:59Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"EPCO","EPCOR","18","18 SEM","Trantech","Radiateurs en SS","Groupe Exel Inter.","Flexible Connector","2026-09-10T21:30:32Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"EVER","EVERSOURCE",,,,,,,"2025-09-08T21:18:01Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"FORT","FORTIS",,,,,,,"2025-09-08T21:18:11Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
