Action,Column,Model_ID,Model_Revion_ID,Models value,Model Revisions value,Proposed write
BACKFILL,Cable,M-ALPO-0007,MR-ALPO-0007-V1,na,,na
BACKFILL,Cable,M-HYQU-0004,MR-HYQU-0004-V1,na,,na
BACKFILL,Cable,M-HYQU-0066,MR-HYQU-0066-V1,na,,na
BACKFILL,Cable,M-MAGA-0009,MR-MAGA-0009-V1,na,,na
BACKFILL,Cable,M-MAGA-0010,MR-MAGA-0010-V1,NA,,NA
BACKFILL,Cable,M-MAGA-0011,MR-MAGA-0011-V1,0,,0
BACKFILL,Copper (LV),M-HYQU-0003,MR-HYQU-0003-V1,45*12,,45*12
BACKFILL,Copper (LV),M-HYQU-0004,MR-HYQU-0004-V1,45*10,,45*10
BACKFILL,Copper (LV),M-HYQU-0071,MR-HYQU-0071-V1,0.020*27.000,,0.020*27.000
BACKFILL,Copper (LV),M-HYQU-0072,MR-HYQU-0072-V1,2x 32*34,,2x 32*34
BACKFILL,Copper (LV),M-HYQU-0084,MR-HYQU-0084-V1,2x 35*34,,2x 35*34
BACKFILL,Copper (LV),M-PITR-0001,MR-PITR-0001-V1,33*12,,33*12
BACKFILL,Core Type,M-ALPO-0001,MR-ALPO-0001-V1,None,,None
BACKFILL,Core Type,M-ALPO-0002,MR-ALPO-0002-V1,None,,None
BACKFILL,Core Type,M-ALPO-0003,MR-ALPO-0003-V1,None,,None
BACKFILL,Core Type,M-ALPO-0004,MR-ALPO-0004-V1,None,,None
BACKFILL,Core Type,M-ALPO-0006,MR-ALPO-0006-V1,None,,None
BACKFILL,Core Type,M-ALPO-0008,MR-ALPO-0008-V1,None,,None
BACKFILL,Core Type,M-ALPO-0009,MR-ALPO-0009-V1,None,,None
BACKFILL,Core Type,M-ALPO-0010,MR-ALPO-0010-V1,None,,None
BACKFILL,Core Type,M-ATCO-0001,MR-ATCO-0001-V1,None,,None
BACKFILL,Core Type,M-ATCO-0002,MR-ATCO-0002-V1,None,,None
BACKFILL,Core Type,M-AUEN-0001,MR-AUEN-0001-V1,None,,None
BACKFILL,Core Type,M-AUEN-0002,M-AUEN-0002,None,,None
BACKFILL,Core Type,M-AUEN-0003,MR-AUEN-0003-V1,None,,None
BACKFILL,Core Type,M-AUEN-0005,MR-AUEN-0005-V1,None,,None
BACKFILL,Core Type,M-AUEN-0007,MR-AUEN-0007-V1,None,,None
BACKFILL,Core Type,M-AUEN-0008,MR-AUEN-0008-V1,None,,None
BACKFILL,Core Type,M-AUEN-0009,MR-AUEN-0009-V1,None,,None
BACKFILL,Core Type,M-AUEN-0010,MR-AUEN-0010-V1,None,,None
BACKFILL,Core Type,M-AUEN-0011,MR-AUEN-0011-V1,None,,None
BACKFILL,Core Type,M-AUEN-0012,MR-AUEN-0012-V1,None,,None
BACKFILL,Core Type,M-AUEN-0013,MR-AUEN-0013-V1,None,,None
BACKFILL,Core Type,M-AUEN-0014,MR-AUEN-0014-V1,None,,None
BACKFILL,Core Type,M-AUEN-0015,MR-AUEN-0015-V1,None,,None
BACKFILL,Core Type,M-AUEN-0016,MR-AUEN-0016-V1,None,,None
BACKFILL,Core Type,M-AUEN-0017,MR-AUEN-0017-V1,None,,None
BACKFILL,Core Type,M-AUEN-0018,MR-AUEN-0018-V1,None,,None
BACKFILL,Core Type,M-AUEN-0019,MR-AUEN-0019-V1,None,,None
BACKFILL,Core Type,M-BEEL-0001,MR-BEEL-0001-V1,None,,None
BACKFILL,Core Type,M-ELPA-0001,MR-ELPA-0001-V1,None,,None
BACKFILL,Core Type,M-ELPA-0002,MR-ELPA-0002-V1,None,,None
BACKFILL,Core Type,M-ENMA-0001,MR-ENMA-0001-V1,None,,None
BACKFILL,Core Type,M-ENMA-0002,MR-ENMA-0002-V1,None,,None
BACKFILL,Core Type,M-ENMA-0003,MR-ENMA-0003-V1,None,,None
BACKFILL,Core Type,M-ENMA-0004,MR-ENMA-0004-V1,None,,None
BACKFILL,Core Type,M-ENMA-0005,MR-ENMA-0005-V1,None,,None
BACKFILL,Core Type,M-ENMA-0008,MR-ENMA-0008-V1,None,,None
BACKFILL,Core Type,M-ENMA-0009,MR-ENMA-0009-V1,None,,None
BACKFILL,Core Type,M-ENMA-0010,MR-ENMA-0010-V1,None,,None
BACKFILL,Core Type,M-ENMA-0011,MR-ENMA-0011-V1,None,,None
BACKFILL,Core Type,M-ENMA-0012,MR-ENMA-0012-V1,None,,None
BACKFILL,Core Type,M-ENMA-0013,MR-ENMA-0013-V1,None,,None
BACKFILL,Core Type,M-ENMA-0014,M-ENMA-0014,None,,None
BACKFILL,Core Type,M-ENMA-0015,MR-ENMA-0015-V1,None,,None
BACKFILL,Core Type,M-ENMA-0016,MR-ENMA-0016-V1,None,,None
BACKFILL,Core Type,M-ENMA-0017,MR-ENMA-0017-V1,None,,None
BACKFILL,Core Type,M-ENMA-0018,MR-ENMA-0018-V1,None,,None
BACKFILL,Core Type,M-ENMA-0019,MR-ENMA-0019-V1,None,,None
BACKFILL,Core Type,M-ENMA-0020,MR-ENMA-0020-V1,None,,None
BACKFILL,Core Type,M-ENMA-0021,MR-ENMA-0021-V1,None,,None
BACKFILL,Core Type,M-ENMA-0022,MR-ENMA-0022-V1,None,,None
BACKFILL,Core Type,M-ENMA-0023,MR-ENMA-0023-V1,None,,None
BACKFILL,Core Type,M-ENMA-0024,MR-ENMA-0024-V1,None,,None
BACKFILL,Core Type,M-ENMA-0025,MR-ENMA-0025-V1,None,,None
BACKFILL,Core Type,M-ENMA-0026,MR-ENMA-0026-V1,None,,None
BACKFILL,Core Type,M-ENMA-0027,MR-ENMA-0027-V1,None,,None
BACKFILL,Core Type,M-ENMA-0028,MR-ENMA-0028-V1,None,,None
BACKFILL,Core Type,M-ENMA-0029,MR-ENMA-0029-V1,None,,None
BACKFILL,Core Type,M-ENMA-0030,MR-ENMA-0030-V1,None,,None
BACKFILL,Core Type,M-ENMA-0031,MR-ENMA-0031-V1,None,,None
BACKFILL,Core Type,M-ENMA-0032,MR-ENMA-0032-V1,None,,None
BACKFILL,Core Type,M-ENMA-0033,MR-ENMA-0033-V1,None,,None
BACKFILL,Core Type,M-ENMA-0034,MR-ENMA-0034-V1,None,,None
BACKFILL,Core Type,M-ENMA-0036,MR-ENMA-0036-V1,None,,None
BACKFILL,Core Type,M-ENMA-0037,MR-ENMA-0037-V1,None,,None
BACKFILL,Core Type,M-ENMA-0038,MR-ENMA-0038-V1,None,,None
BACKFILL,Core Type,M-ENMA-0039,MR-ENMA-0039-V1,None,,None
BACKFILL,Core Type,M-ENMA-0040,MR-ENMA-0040-V1,None,,None
BACKFILL,Core Type,M-ENMA-0041,MR-ENMA-0041-V1,None,,None
BACKFILL,Core Type,M-ENMA-0042,M-ENMA-0042,None,,None
BACKFILL,Core Type,M-ENMA-0043,MR-ENMA-0043-V1,None,,None
BACKFILL,Core Type,M-ENMA-0044,MR-ENMA-0044-V1,None,,None
BACKFILL,Core Type,M-ENMA-0045,MR-ENMA-0045-V1,None,,None
BACKFILL,Core Type,M-ENMA-0046,MR-ENMA-0046-V1,None,,None
BACKFILL,Core Type,M-EPBC-0001,MR-EPBC-0001-V1,None,,None
