"Id","Title","OData__ColorTag","Client_ID","CliLeadTimeWeeks","CliDelai","CliCriticalPart1","CliSupplier1","CliCriticalPart2","CliSupplier2","Modified","Created","AuthorId","EditorId","Attachments","GUID","Author_Email","Editor_Email"
"1","3L2R","","3L2R","","","","","","","2026-09-10T21:59:37Z","2025-09-03T16:48:58Z","106","106","False","8b4aaf5d-35b0-45ae-9c09-36abb4661f6b","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"2","ALABAMA POWER","","ALPO","20","20 SEM","Gauges","Richards Manuf.","","","2026-09-10T21:30:31Z","2025-09-03T16:48:59Z","106","106","False","69dbb104-b03f-45b1-b2c6-c57885910cd2","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"3","ALGOMA STEEL","","ALST","","","","","","","2025-09-08T21:14:38Z","2025-09-03T16:48:59Z","106","106","False","655aa014-7e29-40c5-a9bb-feaff63ee005","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"4","AMERESCO","","AMER","","","","","","","2025-09-08T21:15:24Z","2025-09-03T16:48:59Z","106","106","False","89947dba-0f06-4d16-93db-7d1906f83b81","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"5","AUSTIN ENERGY","","AUEN","16","16 SEM","Flexible Connector","Groupe Exel Inter.","Network Switch","Quality Switch","2026-09-10T21:30:32Z","2025-09-03T16:48:59Z","106","106","False","9e44d6ed-2b00-4a3e-9602-b208e0d62c35","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"6","BEAVER ELECTRICAL ","","BEEL","","","","","","","2025-09-08T21:15:45Z","2025-09-03T16:48:59Z","106","106","False","b42ad2dc-fb00-4d98-bfe8-93e5ddfdd0b1","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"7","BLACK § McDONALD","","BLMC","","","","","","","2025-09-08T21:15:58Z","2025-09-03T16:48:59Z","106","106","False","024a8fea-f587-4ecf-8b55-d2e6d2199878","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"8","BRADKEN ","","BRAD","","","","","","","2025-09-08T21:16:18Z","2025-09-03T16:48:59Z","106","106","False","84395ad4-f276-4bf3-8ab1-2b39eb37d0e8","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"9","BURLINGTON HYDRO","","BUHY","","","","","","","2025-09-08T21:16:27Z","2025-09-03T16:48:59Z","106","106","False","0498322e-3007-44ea-a4c5-070dbf70cb3e","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"10","CANADIAN NUCLEAR LAB","","CANU","","","","","","","2025-09-08T21:16:36Z","2025-09-03T16:48:59Z","106","106","False","5dc0e65f-0385-4569-96c7-279a4c072b8c","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
