"list","displayName","internalName","type","lookupList","lookupShowField","multiValue","choices","formula","hidden","readOnly","required","indexed","restField","csvColumn","idColumn","fillRate","isKey","syncedFromList","syncedFromField","syncedByFlow","viaLookup","readAs","notes"
"Clients","App Created By","AppAuthor","lookup","AppPrincipals","Title","False","","","False","True","False","False","AppAuthorId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives AppAuthorId; display value via FieldValuesAsText, or this mirror's AppAuthor column."
"Clients","App Modified By","AppEditor","lookup","AppPrincipals","Title","False","","","False","True","False","False","AppEditorId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives AppEditorId; display value via FieldValuesAsText, or this mirror's AppEditor column."
"Clients","Attachments","Attachments","other","","","","","","False","False","False","False","Attachments","Attachments","","1","False","","","","","",""
"Clients","Created By","Author","personOrGroup","","","","","","False","True","False","False","AuthorId","AuthorId","AuthorId","1","False","","","","","",""
"Clients","Critical Part 1","CliCriticalPart1","text","","","","","","False","False","False","False","CliCriticalPart1","CliCriticalPart1","","0.172","False","","","","","",""
"Clients","Critical Part 2","CliCriticalPart2","text","","","","","","False","False","False","False","CliCriticalPart2","CliCriticalPart2","","0.131","False","","","","","",""
"Clients","Delai","CliDelai","text","","","","","","False","False","False","False","CliDelai","CliDelai","","0.182","False","","","","","",""
"Clients","Lead Time (weeks)","CliLeadTimeWeeks","number","","","","","","False","False","False","False","CliLeadTimeWeeks","CliLeadTimeWeeks","","0.172","False","","","","","",""
"Clients","Supplier 1","CliSupplier1","text","","","","","","False","False","False","False","CliSupplier1","CliSupplier1","","0.162","False","","","","","",""
"Clients","Supplier 2","CliSupplier2","text","","","","","","False","False","False","False","CliSupplier2","CliSupplier2","","0.141","False","","","","","",""
"Clients","Client_ID","Client_ID","text","","","","","","False","False","True","True","Client_ID","Client_ID","","1","True","","","","","","Identifies a row: 100% filled and unique (the list's own key is always Id)."
"Clients","Compliance Asset Id","ComplianceAssetId","text","","","","","","False","True","False","False","ComplianceAssetId","","","","False","","","","","",""
"Clients","Content Type","ContentType","other","","","","","","False","False","False","False","ContentType","","","","False","","","","","",""
"Clients","Created","Created","dateTime (dateTime)","","","","","","False","True","False","False","Created","Created","","1","False","","","","","",""
"Clients","Type","DocIcon","other","","","","","","False","True","False","False","DocIcon","","","","False","","","","","",""
"Clients","Edit","Edit","other","","","","","","False","True","False","False","Edit","","","","False","","","","","",""
"Clients","Modified By","Editor","personOrGroup","","","","","","False","True","False","False","EditorId","EditorId","EditorId","1","False","","","","","",""
"Clients","Folder Child Count","FolderChildCount","lookup","","FolderChildCount","False","","","False","True","False","False","FolderChildCountId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives FolderChildCountId; display value via FieldValuesAsText, or this mirror's FolderChildCount column."
